event_year,publication_date,document_number,title,country_mentioned,country_in_12_economy_sample,context_sequence,context,raw_text_sha256,source_flag,review_status,p3_merge_ready
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,1,"ice of Foreign Asset Controls, Department of the Treasury, under amended Executive Order 13694. This final rule lists these entities on the Entity List under the destination of Russia. DATES: This rule is effective January 4, 2017. FOR FURTHER INFORMATION CONTACT: Chair, End-User Review Committee, Office of the Assistant Secretary, Export Administration, Bur",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,2,"apply to entities acting contrary to the national security or foreign policy interests of the United States) of the EAR. The five entries being added to the Entity List are in Russia. Under Sec. 744.11(b) (Criteria for revising the Entity List) of the EAR, persons for whom there is reasonable cause to believe, based on specific and articulable facts, ha",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,3,"propriate measure within the authority of the EAR to carry out the provisions of Executive Order 13694. This final rule adds the following five entities to the Entity List: Russia (1) Autonomous Noncommercial Organization Professional Association of Designers of Data Processing Systems, a.k.a., the following one alias: --ANO PO KSI. Prospekt Mir",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,4,"al Organization Professional Association of Designers of Data Processing Systems, a.k.a., the following one alias: --ANO PO KSI. Prospekt Mira D 68, Str 1A, Moscow 129110, Russia; and Dom 3, Lazurnaya Ulitsa, Solnechnogorskiy Raion, Andreyevka, Moscow Region 141551, Russia; (2) Federal Security Service (FSB), a.k.a., the following one alias: --Fede",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,5,"llowing one alias: --ANO PO KSI. Prospekt Mira D 68, Str 1A, Moscow 129110, Russia; and Dom 3, Lazurnaya Ulitsa, Solnechnogorskiy Raion, Andreyevka, Moscow Region 141551, Russia; (2) Federal Security Service (FSB), a.k.a., the following one alias: --Federalnaya Sluzhba Bezopasnosti. Ulitsa Kuznetskiy Most, Dom 22, Moscow 107031, Russia; and Lu",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,6,"141551, Russia; (2) Federal Security Service (FSB), a.k.a., the following one alias: --Federalnaya Sluzhba Bezopasnosti. Ulitsa Kuznetskiy Most, Dom 22, Moscow 107031, Russia; and Lubyanskaya Ploschad, Dom 2, Moscow 107031, Russia; (3) Main Intelligence Directorate, a.k.a., the following three aliases --Glavnoe Razvedyvatel'noe Upravlenie; --GRU",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,7,"a.k.a., the following one alias: --Federalnaya Sluzhba Bezopasnosti. Ulitsa Kuznetskiy Most, Dom 22, Moscow 107031, Russia; and Lubyanskaya Ploschad, Dom 2, Moscow 107031, Russia; (3) Main Intelligence Directorate, a.k.a., the following three aliases --Glavnoe Razvedyvatel'noe Upravlenie; --GRU; and --Main Intelligence Department. Khoroshevskoye",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,8,"rectorate, a.k.a., the following three aliases --Glavnoe Razvedyvatel'noe Upravlenie; --GRU; and --Main Intelligence Department. Khoroshevskoye Shosse 76, Khodinka, Moscow, Russia; and Ministry of Defence of the Russian Federation, Frunzenskaya nab., 22/2, Moscow 119160, Russia; (4) Special Technology Center, a.k.a., the following one alias: --STC, L",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,9,"Main Intelligence Department. Khoroshevskoye Shosse 76, Khodinka, Moscow, Russia; and Ministry of Defence of the Russian Federation, Frunzenskaya nab., 22/2, Moscow 119160, Russia; (4) Special Technology Center, a.k.a., the following one alias: --STC, Ltd. Gzhatskaya 21 k2, St. Petersburg, Russia; and 21-2 Gzhatskaya Street, St. Petersburg, Russi",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
2017,2017-01-04,2016-31969,Addition of Certain Entities to the Entity List,Russia,False,10,"ederation, Frunzenskaya nab., 22/2, Moscow 119160, Russia; (4) Special Technology Center, a.k.a., the following one alias: --STC, Ltd. Gzhatskaya 21 k2, St. Petersburg, Russia; and 21-2 Gzhatskaya Street, St. Petersburg, Russia; and (5) Zorsecurity Center (f.k.a., Esage Lab), a.k.a., the following one alias: --TSOR Security. Luzhnetskaya Emb",d9382e1a39304b42bae0e11d42b86a5cacd1104e8bbda46d7143b6e81f655f27,Federal_Register_official_full_text_literal_match,literal_mention_not_yet_legal_scope_coding,False
